userId,movieId,ratings,reviews
1,105,7.0,Good thriller
2,100,6.0,Good movie
3,108,8.0,Excellent
4,101,7.5,Very good
5,104,8.5,Nice thriller
6,102,9.0,Nice Comedy
7,101,8.0,Feel Good movie
8,103,9.0,Excellent direction
9,100,8.0,Nice animated movie
10,106,7.0,Nice fights
11,107,8.0,Funny movie
12,109,7.0,Good one
13,112,8.0,nice
15,118,5.0,Average movie
16,113,8.0,Great fantasy 
17,112,7.0,Simple logic but good
18,114,6.0,Simple Movie
19,111,8.0,Very nice
20,115,7.0,Good movie
12,117,9.0,Excellent
9,111,7.0,Nice direction
5,113,8.5,Nice story
13,103,9.5,Wonderful movie
21,112,7.0, nice
2,101,6.0,good
12,113,8.0,good one
